license_no,restaurant_name,cuisine,area,emirate,inspection_count_2023_2026,violation_count_2023_2026,major_violation_count,repeat_offender_flag,closure_events,ever_closed_flag,dm_star_rating,last_inspection_date
DM-101274,Restaurant 1274,Indian,Al Barsha,Dubai,1,15,9,0,0,0,2,19-08-2024
DM-101275,Restaurant 1275,American,Silicon Oasis,Dubai,8,6,4,0,0,0,1,09-12-2024
DM-101276,Restaurant 1276,Arabic,Jumeirah,Dubai,9,10,5,1,2,1,1,22-10-2025
DM-101277,Restaurant 1277,Lebanese,JLT,Dubai,6,14,8,1,2,1,3,23-02-2024
DM-101278,Restaurant 1278,Mexican,Al Barsha,Dubai,1,13,1,0,1,1,3,07-02-2024
DM-101279,Restaurant 1279,Pakistani,Downtown,Dubai,9,11,8,1,1,1,5,24-12-2023
DM-101280,Restaurant 1280,Thai,Deira,Dubai,4,2,1,1,2,1,3,07-10-2023
DM-101281,Restaurant 1281,Italian,Silicon Oasis,Dubai,2,5,0,0,0,0,1,02-07-2024
DM-101282,Restaurant 1282,Italian,Marina,Dubai,9,0,0,0,1,1,1,12-11-2023
DM-101283,Restaurant 1283,Arabic,Jumeirah,Dubai,3,5,1,0,0,0,3,25-03-2023
DM-101284,Restaurant 1284,Turkish,Jumeirah,Dubai,6,5,5,1,1,1,5,11-10-2024
DM-101285,Restaurant 1285,American,Business Bay,Dubai,3,3,1,0,1,1,4,12-06-2024
DM-101286,Restaurant 1286,Thai,Jumeirah,Dubai,12,7,0,1,1,1,3,08-07-2025
DM-101287,Restaurant 1287,Italian,Deira,Dubai,5,7,5,0,0,0,5,23-04-2024
DM-101288,Restaurant 1288,Mexican,Jumeirah,Dubai,5,2,0,0,1,1,2,02-06-2023
DM-101289,Restaurant 1289,Lebanese,Silicon Oasis,Dubai,2,7,5,0,0,0,4,05-08-2023
DM-101290,Restaurant 1290,Indian,DIFC,Dubai,9,13,9,1,2,1,3,05-03-2025
DM-101291,Restaurant 1291,Filipino,Downtown,Dubai,1,0,0,0,0,0,1,07-12-2024
DM-101292,Restaurant 1292,Persian,Bur Dubai,Dubai,11,4,1,1,0,0,1,01-04-2024
DM-101293,Restaurant 1293,American,Deira,Dubai,11,6,3,1,0,0,2,16-05-2024
DM-101294,Restaurant 1294,Turkish,Jumeirah,Dubai,12,5,1,0,0,0,2,10-06-2023
DM-101295,Restaurant 1295,Filipino,Jumeirah,Dubai,8,11,2,0,1,1,4,09-01-2024
DM-101296,Restaurant 1296,Pakistani,Business Bay,Dubai,5,7,2,1,2,1,3,04-01-2024
DM-101297,Restaurant 1297,Arabic,Deira,Dubai,8,3,2,0,1,1,2,29-01-2025
DM-101298,Restaurant 1298,Italian,Marina,Dubai,2,5,4,0,1,1,2,06-10-2025
DM-101299,Restaurant 1299,Indian,Downtown,Dubai,10,1,1,1,2,1,3,31-12-2024
DM-101300,Restaurant 1300,Arabic,Business Bay,Dubai,4,4,3,0,0,0,2,10-07-2025
DM-101301,Restaurant 1301,Indian,Bur Dubai,Dubai,10,8,8,1,1,1,5,09-10-2025
DM-101302,Restaurant 1302,Italian,Downtown,Dubai,12,1,0,0,0,0,4,10-10-2024
DM-101303,Restaurant 1303,Lebanese,Jumeirah,Dubai,2,15,4,0,1,1,1,24-03-2025
DM-101304,Restaurant 1304,Pakistani,Deira,Dubai,12,13,11,0,0,0,1,29-12-2023
DM-101305,Restaurant 1305,Pakistani,JLT,Dubai,5,9,2,1,1,1,2,20-12-2025
DM-101306,Restaurant 1306,Korean,DIFC,Dubai,10,5,1,1,0,0,2,14-12-2025
DM-101307,Restaurant 1307,Japanese,Business Bay,Dubai,1,9,5,0,1,1,2,18-08-2025
DM-101308,Restaurant 1308,Pakistani,DIFC,Dubai,4,13,0,0,0,0,5,14-07-2024
DM-101309,Restaurant 1309,Lebanese,JLT,Dubai,1,12,10,0,0,0,4,31-03-2025
DM-101310,Restaurant 1310,Filipino,Al Barsha,Dubai,12,9,5,1,0,0,4,19-01-2025
DM-101311,Restaurant 1311,Indian,JLT,Dubai,3,7,6,0,0,0,3,03-04-2023
DM-101312,Restaurant 1312,Indian,Marina,Dubai,3,6,0,0,1,1,2,02-10-2025
DM-101313,Restaurant 1313,Lebanese,Marina,Dubai,4,12,8,1,0,0,1,23-04-2023
DM-101314,Restaurant 1314,Turkish,Deira,Dubai,2,14,0,0,1,1,2,16-01-2024
DM-101315,Restaurant 1315,Chinese,Downtown,Dubai,9,11,9,1,2,1,2,03-05-2025
DM-101316,Restaurant 1316,American,Bur Dubai,Dubai,2,11,8,0,0,0,4,01-12-2025
DM-101317,Restaurant 1317,Filipino,Deira,Dubai,2,15,9,0,1,1,4,02-09-2024
DM-101318,Restaurant 1318,Persian,Jumeirah,Dubai,3,5,2,0,0,0,2,30-03-2023
DM-101319,Restaurant 1319,Japanese,DIFC,Dubai,7,5,3,1,0,0,1,17-05-2023
DM-101320,Restaurant 1320,Turkish,JLT,Dubai,9,5,1,1,2,1,3,12-01-2023
DM-101321,Restaurant 1321,Korean,Downtown,Dubai,3,10,3,0,0,0,1,17-10-2025
DM-101322,Restaurant 1322,Thai,Silicon Oasis,Dubai,10,6,0,1,2,1,5,29-02-2024
DM-101323,Restaurant 1323,Chinese,Marina,Dubai,3,3,3,0,0,0,3,03-06-2025
DM-101324,Restaurant 1324,Turkish,DIFC,Dubai,6,8,4,0,0,0,5,09-08-2023
DM-101325,Restaurant 1325,Chinese,Al Barsha,Dubai,1,5,1,0,1,1,1,16-04-2024
DM-101326,Restaurant 1326,Pakistani,JLT,Dubai,9,13,5,1,0,0,4,21-12-2024
DM-101327,Restaurant 1327,Filipino,Business Bay,Dubai,5,2,1,1,0,0,1,14-07-2025
DM-101328,Restaurant 1328,Filipino,Marina,Dubai,6,5,2,0,0,0,3,21-04-2024
DM-101329,Restaurant 1329,Italian,Marina,Dubai,4,1,1,1,0,0,4,26-10-2025
DM-101330,Restaurant 1330,Mexican,Deira,Dubai,6,0,0,0,1,1,1,05-07-2025
DM-101331,Restaurant 1331,Thai,Downtown,Dubai,4,12,1,0,1,1,4,25-08-2023
DM-101332,Restaurant 1332,Italian,Bur Dubai,Dubai,4,0,0,0,1,1,2,04-06-2023
DM-101333,Restaurant 1333,Turkish,Jumeirah,Dubai,5,1,0,1,2,1,2,18-02-2025
DM-101334,Restaurant 1334,Filipino,Bur Dubai,Dubai,4,0,0,1,1,1,1,23-06-2024
DM-101335,Restaurant 1335,Filipino,Bur Dubai,Dubai,10,14,6,0,1,1,1,30-10-2024
DM-101336,Restaurant 1336,Filipino,Silicon Oasis,Dubai,7,0,0,1,0,0,4,07-11-2025
DM-101337,Restaurant 1337,American,DIFC,Dubai,10,7,4,0,0,0,1,11-03-2024
DM-101338,Restaurant 1338,Arabic,Business Bay,Dubai,2,7,4,0,0,0,4,25-02-2026
DM-101339,Restaurant 1339,Japanese,Downtown,Dubai,7,0,0,1,2,1,1,03-07-2024
DM-101340,Restaurant 1340,Turkish,Business Bay,Dubai,7,12,4,0,1,1,4,25-06-2024
DM-101341,Restaurant 1341,Arabic,Business Bay,Dubai,12,10,7,1,0,0,3,28-12-2024
DM-101342,Restaurant 1342,French,Silicon Oasis,Dubai,11,11,4,1,0,0,4,16-01-2024
DM-101343,Restaurant 1343,Filipino,DIFC,Dubai,10,0,0,1,0,0,4,26-08-2025
DM-101344,Restaurant 1344,Pakistani,Marina,Dubai,9,12,2,0,1,1,4,12-04-2025
DM-101345,Restaurant 1345,Thai,Bur Dubai,Dubai,9,10,2,0,1,1,3,19-05-2025
DM-101346,Restaurant 1346,Japanese,Marina,Dubai,12,3,2,0,1,1,1,30-03-2023
DM-101347,Restaurant 1347,Japanese,Al Barsha,Dubai,12,13,8,0,0,0,1,24-05-2025
DM-101348,Restaurant 1348,Indian,Al Barsha,Dubai,7,13,5,0,1,1,1,09-05-2025
DM-101349,Restaurant 1349,Pakistani,JLT,Dubai,4,6,0,1,2,1,4,21-01-2024
DM-101350,Restaurant 1350,Japanese,Deira,Dubai,8,15,13,1,1,1,4,19-09-2023
DM-101351,Restaurant 1351,French,JLT,Dubai,5,2,1,0,0,0,2,06-01-2024
DM-101352,Restaurant 1352,French,Jumeirah,Dubai,4,4,1,1,2,1,4,10-04-2023
DM-101353,Restaurant 1353,Pakistani,Marina,Dubai,2,11,7,0,0,0,3,21-12-2023
DM-101354,Restaurant 1354,American,Bur Dubai,Dubai,8,12,2,0,1,1,4,24-11-2025
DM-101355,Restaurant 1355,Turkish,Al Barsha,Dubai,2,15,13,0,0,0,2,08-03-2025
DM-101356,Restaurant 1356,Arabic,Business Bay,Dubai,3,15,5,0,1,1,5,24-08-2023
DM-101357,Restaurant 1357,Korean,Silicon Oasis,Dubai,9,13,9,1,1,1,5,12-09-2024
DM-101358,Restaurant 1358,Lebanese,Jumeirah,Dubai,5,9,8,1,1,1,1,14-03-2023
DM-101359,Restaurant 1359,Turkish,Silicon Oasis,Dubai,5,2,2,0,0,0,4,17-01-2025
DM-101360,Restaurant 1360,Arabic,Silicon Oasis,Dubai,12,13,5,0,0,0,2,15-06-2024
DM-101361,Restaurant 1361,Arabic,Marina,Dubai,10,10,2,1,0,0,2,05-04-2025
DM-101362,Restaurant 1362,Japanese,Bur Dubai,Dubai,5,2,2,1,2,1,3,27-10-2024
DM-101363,Restaurant 1363,Arabic,DIFC,Dubai,9,14,1,1,2,1,4,10-07-2025
DM-101364,Restaurant 1364,Thai,Downtown,Dubai,1,13,2,0,0,0,2,20-08-2023
DM-101365,Restaurant 1365,Arabic,Marina,Dubai,7,0,0,1,2,1,5,20-12-2025
DM-101366,Restaurant 1366,Lebanese,Silicon Oasis,Dubai,10,1,0,1,0,0,4,16-02-2025
DM-101367,Restaurant 1367,Turkish,Business Bay,Dubai,3,1,1,0,1,1,4,07-10-2025
DM-101368,Restaurant 1368,Indian,Deira,Dubai,9,10,5,1,2,1,2,08-08-2025
DM-101369,Restaurant 1369,Japanese,Jumeirah,Dubai,7,13,5,1,0,0,1,27-04-2023
DM-101370,Restaurant 1370,Lebanese,DIFC,Dubai,9,14,2,1,2,1,5,30-07-2023
DM-101371,Restaurant 1371,Pakistani,Al Barsha,Dubai,2,7,0,0,1,1,5,02-02-2025
DM-101372,Restaurant 1372,Arabic,Bur Dubai,Dubai,9,1,1,1,2,1,3,13-07-2024
DM-101373,Restaurant 1373,Japanese,DIFC,Dubai,7,11,9,0,0,0,2,11-12-2024
DM-101374,Restaurant 1374,Italian,Bur Dubai,Dubai,7,5,4,0,0,0,3,07-03-2025
DM-101375,Restaurant 1375,Pakistani,Al Barsha,Dubai,4,9,9,1,0,0,1,06-11-2025
DM-101376,Restaurant 1376,Persian,Deira,Dubai,7,5,2,1,0,0,2,19-06-2023
DM-101377,Restaurant 1377,Mexican,Jumeirah,Dubai,4,14,4,1,1,1,5,15-07-2025
DM-101378,Restaurant 1378,Chinese,Downtown,Dubai,1,15,8,0,0,0,1,12-08-2024
DM-101379,Restaurant 1379,Italian,DIFC,Dubai,2,7,6,0,1,1,2,08-08-2024
DM-101380,Restaurant 1380,Italian,JLT,Dubai,10,14,10,1,0,0,4,11-01-2024
DM-101381,Restaurant 1381,Japanese,Marina,Dubai,12,11,4,1,1,1,4,20-06-2024
DM-101382,Restaurant 1382,French,Silicon Oasis,Dubai,11,13,1,1,2,1,3,03-02-2023
DM-101383,Restaurant 1383,Arabic,Business Bay,Dubai,4,3,3,0,0,0,2,22-11-2025
DM-101384,Restaurant 1384,Japanese,Al Barsha,Dubai,10,15,14,1,1,1,3,13-09-2024
DM-101385,Restaurant 1385,Lebanese,JLT,Dubai,1,1,1,0,1,1,1,21-03-2024
DM-101386,Restaurant 1386,American,Silicon Oasis,Dubai,11,4,3,0,1,1,4,15-09-2024
DM-101387,Restaurant 1387,Pakistani,Jumeirah,Dubai,4,0,0,0,0,0,4,15-07-2024
DM-101388,Restaurant 1388,French,Al Barsha,Dubai,11,4,0,1,0,0,2,03-02-2025
DM-101389,Restaurant 1389,Japanese,Business Bay,Dubai,12,10,1,1,0,0,1,12-03-2023
DM-101390,Restaurant 1390,Persian,Deira,Dubai,4,2,1,0,0,0,4,19-02-2026
DM-101391,Restaurant 1391,Mexican,Jumeirah,Dubai,7,15,0,0,0,0,2,18-10-2023
DM-101392,Restaurant 1392,Japanese,JLT,Dubai,11,10,10,1,1,1,4,13-11-2024
DM-101393,Restaurant 1393,Lebanese,Silicon Oasis,Dubai,1,12,2,0,0,0,2,22-09-2023
DM-101394,Restaurant 1394,Italian,Deira,Dubai,1,14,3,0,1,1,3,13-04-2023
DM-101395,Restaurant 1395,Italian,Al Barsha,Dubai,8,13,6,0,1,1,2,11-02-2023
DM-101396,Restaurant 1396,French,Marina,Dubai,3,2,1,0,0,0,1,24-05-2023
DM-101397,Restaurant 1397,Lebanese,Deira,Dubai,2,4,3,0,0,0,3,07-05-2024
DM-101398,Restaurant 1398,Filipino,Marina,Dubai,6,8,8,1,2,1,1,14-10-2025
DM-101399,Restaurant 1399,Indian,Bur Dubai,Dubai,2,9,8,0,1,1,2,12-01-2024
DM-101400,Restaurant 1400,Chinese,Downtown,Dubai,7,14,6,0,1,1,5,07-01-2023
DM-101401,Restaurant 1401,Thai,Jumeirah,Dubai,6,0,0,1,0,0,2,08-01-2024
DM-101402,Restaurant 1402,Turkish,DIFC,Dubai,5,9,0,0,0,0,3,19-06-2023
DM-101403,Restaurant 1403,Korean,Downtown,Dubai,9,0,0,0,0,0,1,29-09-2023
DM-101404,Restaurant 1404,Turkish,Deira,Dubai,6,11,1,0,0,0,1,04-02-2026
DM-101405,Restaurant 1405,Thai,Jumeirah,Dubai,11,1,0,1,2,1,2,02-09-2024
DM-101406,Restaurant 1406,French,Downtown,Dubai,1,11,11,0,0,0,4,18-04-2025
DM-101407,Restaurant 1407,Thai,Jumeirah,Dubai,2,6,3,0,0,0,5,24-12-2023
DM-101408,Restaurant 1408,Korean,Silicon Oasis,Dubai,2,4,0,0,0,0,4,10-11-2023
DM-101409,Restaurant 1409,Filipino,Business Bay,Dubai,12,10,4,1,0,0,4,14-11-2023
DM-101410,Restaurant 1410,Korean,Bur Dubai,Dubai,7,1,0,0,1,1,2,21-03-2025
DM-101411,Restaurant 1411,Indian,DIFC,Dubai,10,14,5,1,2,1,3,10-10-2024
DM-101412,Restaurant 1412,Filipino,Deira,Dubai,11,10,10,0,0,0,3,10-04-2024
DM-101413,Restaurant 1413,Mexican,Silicon Oasis,Dubai,8,4,4,1,1,1,2,07-11-2023
DM-101414,Restaurant 1414,Turkish,JLT,Dubai,4,11,10,1,1,1,4,29-01-2025
DM-101415,Restaurant 1415,Thai,JLT,Dubai,1,12,9,0,0,0,1,13-11-2025
DM-101416,Restaurant 1416,Italian,Silicon Oasis,Dubai,11,9,3,0,0,0,2,31-08-2023
DM-101417,Restaurant 1417,Turkish,Deira,Dubai,8,8,6,1,1,1,4,13-06-2025
DM-101418,Restaurant 1418,Italian,JLT,Dubai,2,8,1,0,0,0,3,16-05-2025
DM-101419,Restaurant 1419,Turkish,Downtown,Dubai,6,7,1,1,2,1,4,22-08-2025
DM-101420,Restaurant 1420,Lebanese,Bur Dubai,Dubai,5,10,4,1,0,0,2,18-11-2024
DM-101421,Restaurant 1421,Korean,DIFC,Dubai,5,12,2,0,0,0,5,24-04-2024
DM-101422,Restaurant 1422,Mexican,Bur Dubai,Dubai,12,2,0,0,0,0,5,02-01-2024
DM-101423,Restaurant 1423,French,Business Bay,Dubai,12,4,0,0,0,0,4,15-09-2024
DM-101424,Restaurant 1424,Chinese,DIFC,Dubai,10,2,2,1,2,1,2,23-08-2023
DM-101425,Restaurant 1425,Lebanese,Al Barsha,Dubai,2,6,3,0,1,1,2,17-05-2024
DM-101426,Restaurant 1426,Filipino,DIFC,Dubai,2,6,4,0,1,1,5,06-03-2024
DM-101427,Restaurant 1427,American,Bur Dubai,Dubai,10,2,1,1,2,1,4,16-12-2025
DM-101428,Restaurant 1428,Lebanese,Bur Dubai,Dubai,7,2,2,0,0,0,2,17-02-2023
DM-101429,Restaurant 1429,Italian,Downtown,Dubai,12,4,1,1,2,1,3,11-07-2023
DM-101430,Restaurant 1430,Turkish,Al Barsha,Dubai,10,12,1,1,2,1,3,09-09-2024
DM-101431,Restaurant 1431,Japanese,Deira,Dubai,3,8,8,0,0,0,1,18-10-2024
DM-101432,Restaurant 1432,Indian,DIFC,Dubai,9,15,15,0,0,0,4,24-04-2024
DM-101433,Restaurant 1433,Arabic,Silicon Oasis,Dubai,4,10,6,1,1,1,2,11-09-2023
DM-101434,Restaurant 1434,Filipino,Jumeirah,Dubai,9,13,7,1,2,1,1,27-02-2023
DM-101435,Restaurant 1435,Pakistani,Deira,Dubai,3,14,9,0,0,0,5,12-10-2024
DM-101436,Restaurant 1436,French,Business Bay,Dubai,1,13,12,0,0,0,5,11-11-2024
DM-101437,Restaurant 1437,Chinese,DIFC,Dubai,5,13,6,1,2,1,2,23-06-2024
DM-101438,Restaurant 1438,Lebanese,Al Barsha,Dubai,11,7,7,1,0,0,1,06-11-2023
DM-101439,Restaurant 1439,Arabic,Marina,Dubai,4,13,1,1,2,1,2,23-01-2023
DM-101440,Restaurant 1440,Mexican,Al Barsha,Dubai,7,13,10,1,0,0,5,22-10-2023
DM-101441,Restaurant 1441,Turkish,Jumeirah,Dubai,3,1,1,0,0,0,1,08-02-2026
DM-101442,Restaurant 1442,Filipino,Deira,Dubai,5,9,2,0,1,1,1,29-09-2024
DM-101443,Restaurant 1443,Lebanese,Al Barsha,Dubai,10,7,7,1,0,0,3,03-12-2023
DM-101444,Restaurant 1444,Persian,Downtown,Dubai,11,15,3,0,1,1,5,26-07-2024
DM-101445,Restaurant 1445,Japanese,Deira,Dubai,8,0,0,1,2,1,5,15-08-2023
DM-101446,Restaurant 1446,Filipino,Downtown,Dubai,4,13,0,0,1,1,5,23-12-2023
DM-101447,Restaurant 1447,Chinese,Downtown,Dubai,1,9,0,0,1,1,4,09-06-2024
DM-101448,Restaurant 1448,Filipino,JLT,Dubai,10,14,11,0,1,1,2,30-11-2024
DM-101449,Restaurant 1449,Lebanese,JLT,Dubai,10,11,10,1,2,1,3,23-10-2024
DM-101450,Restaurant 1450,Pakistani,DIFC,Dubai,12,0,0,0,0,0,4,28-02-2026
DM-101451,Restaurant 1451,Filipino,Silicon Oasis,Dubai,7,7,5,1,1,1,4,17-08-2025
DM-101452,Restaurant 1452,Arabic,DIFC,Dubai,8,14,12,1,0,0,1,01-01-2026
DM-101453,Restaurant 1453,Italian,DIFC,Dubai,6,3,3,1,0,0,4,29-12-2024
DM-101454,Restaurant 1454,Arabic,DIFC,Dubai,8,0,0,1,0,0,5,10-06-2023
DM-101455,Restaurant 1455,Lebanese,Silicon Oasis,Dubai,8,11,7,0,0,0,2,30-12-2025
DM-101456,Restaurant 1456,Arabic,Deira,Dubai,1,13,6,0,1,1,4,07-12-2025
DM-101457,Restaurant 1457,Persian,Marina,Dubai,5,14,5,0,0,0,2,14-09-2025
DM-101458,Restaurant 1458,Mexican,Marina,Dubai,7,1,0,1,0,0,2,10-07-2025
DM-101459,Restaurant 1459,Filipino,Bur Dubai,Dubai,6,8,8,0,0,0,4,07-01-2025
DM-101460,Restaurant 1460,Thai,Deira,Dubai,2,13,11,0,0,0,4,17-08-2025
DM-101461,Restaurant 1461,Turkish,Downtown,Dubai,1,14,9,0,1,1,1,17-05-2023
DM-101462,Restaurant 1462,Thai,JLT,Dubai,7,11,6,0,0,0,2,28-02-2024
DM-101463,Restaurant 1463,Indian,Al Barsha,Dubai,5,7,1,1,0,0,1,25-02-2023
DM-101464,Restaurant 1464,Turkish,JLT,Dubai,8,8,2,0,1,1,1,30-10-2023
DM-101465,Restaurant 1465,Persian,DIFC,Dubai,5,1,1,0,0,0,3,26-02-2026
DM-101466,Restaurant 1466,Chinese,Bur Dubai,Dubai,10,15,11,0,1,1,4,23-07-2024
DM-101467,Restaurant 1467,Lebanese,Bur Dubai,Dubai,10,0,0,0,1,1,5,08-02-2026
DM-101468,Restaurant 1468,Italian,Silicon Oasis,Dubai,4,4,4,1,0,0,4,01-09-2023
DM-101469,Restaurant 1469,Turkish,Downtown,Dubai,6,1,1,1,0,0,1,15-04-2025
DM-101470,Restaurant 1470,Thai,JLT,Dubai,12,11,9,1,2,1,4,22-08-2023
DM-101471,Restaurant 1471,Japanese,Al Barsha,Dubai,4,11,5,0,1,1,1,05-11-2025
DM-101472,Restaurant 1472,Filipino,DIFC,Dubai,4,12,1,1,0,0,5,01-04-2025
DM-101473,Restaurant 1473,French,Marina,Dubai,7,8,0,1,1,1,5,29-12-2023
DM-101474,Restaurant 1474,Mexican,DIFC,Dubai,7,7,2,0,1,1,5,20-03-2025
DM-101475,Restaurant 1475,Japanese,Downtown,Dubai,12,11,1,0,0,0,4,23-10-2024
DM-101476,Restaurant 1476,Thai,Marina,Dubai,1,13,4,0,1,1,1,06-01-2025
DM-101477,Restaurant 1477,American,Bur Dubai,Dubai,6,12,1,0,0,0,5,05-04-2025
DM-101478,Restaurant 1478,Lebanese,Downtown,Dubai,9,12,8,0,1,1,1,02-07-2025
DM-101479,Restaurant 1479,American,Silicon Oasis,Dubai,10,7,0,1,0,0,1,19-08-2024
DM-101480,Restaurant 1480,Chinese,Silicon Oasis,Dubai,7,12,1,1,1,1,4,20-04-2025
DM-101481,Restaurant 1481,French,Business Bay,Dubai,8,8,6,0,0,0,5,04-01-2026
DM-101482,Restaurant 1482,Filipino,Al Barsha,Dubai,2,15,0,0,1,1,4,11-03-2025
DM-101483,Restaurant 1483,French,Marina,Dubai,1,7,3,0,0,0,5,28-09-2025
DM-101484,Restaurant 1484,Chinese,Silicon Oasis,Dubai,11,6,6,1,0,0,1,02-11-2025
DM-101485,Restaurant 1485,Lebanese,Silicon Oasis,Dubai,4,14,8,1,0,0,5,17-01-2025
DM-101486,Restaurant 1486,Chinese,Jumeirah,Dubai,2,8,4,0,1,1,5,30-03-2025
DM-101487,Restaurant 1487,Indian,Downtown,Dubai,8,2,2,1,1,1,5,01-04-2025
DM-101488,Restaurant 1488,Turkish,Business Bay,Dubai,2,8,8,0,1,1,1,26-07-2023
DM-101489,Restaurant 1489,Korean,Bur Dubai,Dubai,4,6,2,1,0,0,4,16-08-2025
DM-101490,Restaurant 1490,Chinese,JLT,Dubai,3,9,2,0,1,1,2,17-02-2023
DM-101491,Restaurant 1491,Turkish,Business Bay,Dubai,7,12,6,0,0,0,5,25-02-2026
DM-101492,Restaurant 1492,Arabic,Marina,Dubai,6,10,4,1,1,1,4,01-04-2024
DM-101493,Restaurant 1493,Mexican,Downtown,Dubai,6,5,4,1,2,1,3,30-01-2023
DM-101494,Restaurant 1494,Arabic,Business Bay,Dubai,3,12,9,0,0,0,1,27-12-2023
DM-101495,Restaurant 1495,Thai,Jumeirah,Dubai,10,6,2,1,0,0,3,09-10-2023
DM-101496,Restaurant 1496,Lebanese,JLT,Dubai,4,1,0,0,0,0,5,17-02-2025
DM-101497,Restaurant 1497,Arabic,Business Bay,Dubai,10,11,11,1,1,1,3,08-09-2025
DM-101498,Restaurant 1498,French,Silicon Oasis,Dubai,2,3,2,0,1,1,5,03-04-2023
DM-101499,Restaurant 1499,Persian,Bur Dubai,Dubai,9,2,1,0,0,0,5,31-10-2024
DM-101500,Restaurant 1500,French,Silicon Oasis,Dubai,12,14,9,1,1,1,3,30-10-2024
DM-101501,Restaurant 1501,Arabic,Al Barsha,Dubai,7,6,6,0,0,0,4,15-08-2024
DM-101502,Restaurant 1502,American,DIFC,Dubai,5,11,11,0,1,1,3,28-09-2025
DM-101503,Restaurant 1503,Italian,Jumeirah,Dubai,9,2,2,0,1,1,4,14-02-2024
DM-101504,Restaurant 1504,Chinese,DIFC,Dubai,7,7,7,0,0,0,4,11-01-2026
DM-101505,Restaurant 1505,Thai,Marina,Dubai,10,13,6,1,0,0,3,05-12-2024
DM-101506,Restaurant 1506,Korean,Business Bay,Dubai,1,12,3,0,0,0,3,21-05-2023
DM-101507,Restaurant 1507,Japanese,Deira,Dubai,3,0,0,0,1,1,3,27-04-2023
DM-101508,Restaurant 1508,Lebanese,Business Bay,Dubai,7,14,10,1,1,1,5,15-11-2023
DM-101509,Restaurant 1509,Indian,Deira,Dubai,10,8,5,1,1,1,2,17-11-2025
DM-101510,Restaurant 1510,Mexican,JLT,Dubai,10,1,1,1,2,1,2,03-09-2024
DM-101511,Restaurant 1511,Filipino,JLT,Dubai,4,15,1,1,1,1,5,02-12-2024
DM-101512,Restaurant 1512,Lebanese,DIFC,Dubai,8,9,7,1,1,1,5,25-10-2024
DM-101513,Restaurant 1513,American,Silicon Oasis,Dubai,12,4,4,0,0,0,5,01-06-2024
DM-101514,Restaurant 1514,Turkish,Downtown,Dubai,5,6,6,0,0,0,2,08-11-2024
DM-101515,Restaurant 1515,Pakistani,Marina,Dubai,9,2,2,1,1,1,2,15-06-2024
DM-101516,Restaurant 1516,French,Deira,Dubai,9,14,10,1,0,0,2,18-02-2024
DM-101517,Restaurant 1517,Filipino,Al Barsha,Dubai,1,8,1,0,0,0,2,05-02-2023
DM-101518,Restaurant 1518,American,Business Bay,Dubai,7,5,1,0,0,0,1,05-02-2024
DM-101519,Restaurant 1519,Arabic,Business Bay,Dubai,9,3,2,1,1,1,1,26-05-2024
DM-101520,Restaurant 1520,Pakistani,DIFC,Dubai,4,11,0,0,0,0,4,06-02-2025
DM-101521,Restaurant 1521,Persian,Jumeirah,Dubai,7,15,9,0,0,0,2,04-11-2025
DM-101522,Restaurant 1522,French,Deira,Dubai,8,13,3,1,2,1,3,16-08-2024
DM-101523,Restaurant 1523,Thai,DIFC,Dubai,2,0,0,0,1,1,3,31-07-2023
DM-101524,Restaurant 1524,Arabic,Bur Dubai,Dubai,3,5,0,0,0,0,3,01-04-2024
DM-101525,Restaurant 1525,American,Jumeirah,Dubai,8,14,3,0,1,1,3,18-11-2025
DM-101526,Restaurant 1526,Japanese,Al Barsha,Dubai,10,7,1,1,1,1,1,24-07-2025
DM-101527,Restaurant 1527,Arabic,Marina,Dubai,5,12,4,0,1,1,3,06-02-2025
DM-101528,Restaurant 1528,Indian,DIFC,Dubai,9,15,0,0,0,0,2,08-05-2025
DM-101529,Restaurant 1529,Turkish,Marina,Dubai,4,10,1,1,1,1,1,28-02-2023
DM-101530,Restaurant 1530,Japanese,Jumeirah,Dubai,11,1,0,0,1,1,3,05-12-2025
DM-101531,Restaurant 1531,Filipino,DIFC,Dubai,8,10,4,0,1,1,3,27-02-2026
DM-101532,Restaurant 1532,Turkish,Marina,Dubai,1,13,7,0,1,1,3,06-12-2023
DM-101533,Restaurant 1533,Mexican,Downtown,Dubai,9,10,5,0,0,0,3,13-05-2025
DM-101534,Restaurant 1534,Thai,JLT,Dubai,12,11,11,0,1,1,2,25-04-2024
DM-101535,Restaurant 1535,Thai,Downtown,Dubai,11,4,2,0,1,1,1,10-07-2023
DM-101536,Restaurant 1536,Chinese,Silicon Oasis,Dubai,1,2,0,0,0,0,4,20-12-2024
DM-101537,Restaurant 1537,Persian,Silicon Oasis,Dubai,1,8,0,0,1,1,5,23-08-2025
DM-101538,Restaurant 1538,Filipino,Bur Dubai,Dubai,11,11,11,0,0,0,3,26-11-2023
DM-101539,Restaurant 1539,Lebanese,Silicon Oasis,Dubai,3,14,1,0,1,1,1,26-07-2025
DM-101540,Restaurant 1540,Turkish,JLT,Dubai,1,5,4,0,0,0,3,22-01-2024
DM-101541,Restaurant 1541,Filipino,DIFC,Dubai,7,14,13,0,0,0,3,03-04-2023
DM-101542,Restaurant 1542,Pakistani,JLT,Dubai,7,13,5,0,0,0,5,17-08-2025
DM-101543,Restaurant 1543,Mexican,Silicon Oasis,Dubai,10,1,1,1,0,0,3,26-01-2025
